"","x"
"191","https://www.ptt.cc/bbs/HatePolitics/M.1563521138.A.C79.html"
"192","https://www.ptt.cc/bbs/HatePolitics/M.1563521314.A.D07.html"
"193","https://www.ptt.cc/bbs/HatePolitics/M.1563521401.A.24D.html"
"194","https://www.ptt.cc/bbs/HatePolitics/M.1563521844.A.2C9.html"
"195","https://www.ptt.cc/bbs/HatePolitics/M.1563521857.A.908.html"
"196","https://www.ptt.cc/bbs/HatePolitics/M.1563521958.A.80B.html"
"197","https://www.ptt.cc/bbs/HatePolitics/M.1563522219.A.700.html"
"198","https://www.ptt.cc/bbs/HatePolitics/M.1563522243.A.74F.html"
"199","https://www.ptt.cc/bbs/HatePolitics/M.1563522281.A.CC6.html"
"200","https://www.ptt.cc/bbs/HatePolitics/M.1563522402.A.CE7.html"
"201","https://www.ptt.cc/bbs/HatePolitics/M.1563522441.A.F82.html"
"202","https://www.ptt.cc/bbs/HatePolitics/M.1563522483.A.D6F.html"
"203","https://www.ptt.cc/bbs/HatePolitics/M.1563522484.A.DAE.html"
"204","https://www.ptt.cc/bbs/HatePolitics/M.1563522658.A.879.html"
"205","https://www.ptt.cc/bbs/HatePolitics/M.1563522814.A.D22.html"
"206","https://www.ptt.cc/bbs/HatePolitics/M.1563522824.A.56B.html"
"207","https://www.ptt.cc/bbs/HatePolitics/M.1563522862.A.AA7.html"
"208","https://www.ptt.cc/bbs/HatePolitics/M.1563522909.A.EEB.html"
"209","https://www.ptt.cc/bbs/HatePolitics/M.1563522928.A.CDD.html"
"210","https://www.ptt.cc/bbs/HatePolitics/M.1563523189.A.D27.html"
"211","https://www.ptt.cc/bbs/HatePolitics/M.1563523386.A.A68.html"
"212","https://www.ptt.cc/bbs/HatePolitics/M.1563523518.A.CF6.html"
"213","https://www.ptt.cc/bbs/HatePolitics/M.1563523857.A.1C1.html"
"214","https://www.ptt.cc/bbs/HatePolitics/M.1563523876.A.E55.html"
"215","https://www.ptt.cc/bbs/HatePolitics/M.1563523877.A.654.html"
